"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Egypt, Arab Rep.","EGY","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.05","","","14.17","16.68","16.82","16.72","19.89","15.04","10.63","10.01","10.05","8.92","8.85","9","11.76","9.69","9.82","11.1","10.61","10.51","11.47","11.92","12.96","17.88","","","",
"Euro area","EMU","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","5.8","","","","","","","","","","","","","","","","",
"Spain","ESP","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Estonia","EST","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Ethiopia","ETH","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.15","","","","","","12.11","13.48","","","","12.03","","10.09","10.38","10.27","10.51","9.98","","","12.16","","","12.16","","","","",
"European Union","EUU","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Fragile and conflict affected situations","FCS","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Fiji","FJI","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.51","10.44","","8.92","9.07","9.98","12.15","11.29","19.9","11.75","12.08","","11.12","","16.17","16.45","24.08","16.74","","",
"France","FRA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Faroe Islands","FRO","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.38","","","15.43","","14.59","16.15","14.72","16.78","16.78","16.29","","14.25","14.45","14.75","14.99","15.11","15.18","14.36","","14.54","16.93","","","14.94","","","",
"United Kingdom","GBR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22","4.83","4.27","4.77","4.68","4.54","4.19","3.99","3.7","4.28","3.84","3.53","3.13","3.37","3.46","3.48","3.64","3.11","3.04","2.65","2.14","","",
"Georgia","GEO","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.12","","9.67","10.7","9.44","9.43","8.21","8.32","1.49","1.39","1.33","1.38","2.18","1.9","1.89","","1.67","1.88","","","","1.74","","",
"Ghana","GHA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","16.2","9.05","9.05","9.05","","","","8.99","8.6","9.98","10.06","","","10.06","","","11.16","11.1","10.89","10.53","11.02","","",
"Gibraltar","GIB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.97","","","","","","6.11","12.53","","","11.91","11.75","11.91","","11.91","","","","","12.25","11.31","12.32","12.79","","",
"Gambia, The","GMB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.09","","","","14.72","14.77","13.46","12.02","12.5","12.5","12.66","","","","","18.11","","19.11","","",
"Guinea-Bissau","GNB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","12.8","13.28","13.94","11.62","13.81","13.36","13.38","11.62","13.85","13.22","12.28","12.79","12.69","","","15.5","14.43","15.19","14.65","","",
"Equatorial Guinea","GNQ","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.16","","","14.43","15.8","","","15.24","","15.63","","","","","","","","","","","","","","","",
"Greece","GRC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Grenada","GRD","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.58","","","16.2","11.31","15.81","12.04","11.43","","","11.8","12.63","12.72","","12.51","12.46","13.32","12.16","","12.23","13.13","","","11.4","","","",
"Greenland","GRL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.66","","6.8","6.98","5.94","5.81","6.52","6.11","6.53","6.16","5.82","5.39","5.4","5.17","5.48","5.32","5.16","6.7","5.15","4.76","4.76","","","","","5.45","","",
"Guam","GUM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.71","","","15.2","15.54","11.61","11.84","11.5","","","11.15","11.08","10.51","11.58","11.27","11.13","10.67","11.92","","11.39","11.32","11.27","6.22","10.49","9.37","","",
"High income","HIC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33","5.63","6.48","5.84","5.97","6.17","6.1","5.59","5.6","4.71","4.42","4.31","4.05","4.27","4.07","4.13","3.48","3.3","3.19","3.06","3.2","3.22","3.04","3.14","2.99","3.01","3.02","3.18","3.09","3.39","","","","","",
"Hong Kong SAR, China","HKG","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Honduras","HND","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.97","7.8","9.76","8.05","7.7","8.35","8.8","7.18","7.18","6.85","6.01","5.92","6.51","6.47","6.71","6.65","6.35","6.31","5.77","","6.02","","","7.38","","7.65","","",
"Heavily indebted poor countries (HIPC)","HPC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Haiti","HTI","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59","3.8","","","","","4.75","4.81","3.5","6.97","6.58","4.44","6.52","7.18","6.55","6.52","","","","6.76","","",
"Hungary","HUN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"IBRD only","IBD","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.54","15.09","","","12.51","","10.89","7.73","15.06","5.48","6.05","5.16","4.35","5.07","4.86","5.03","5.38","4.85","3.87","4.38","2.55","4.74","4.79","4.83","4.66","","","5.4","5.67","5.89","6.14","5.88","","",
"IDA only","IDX","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.36","","27.01","","","","23.72","20.14","","28.54","23.36","26.65","23.08","21.45","22.97","14.06","8.99","11.99","6.13","7.04","7.34","7.33","6.32","6.34","","7.49","7.57","6.85","6","8.77","7.65","","",
"Not classified","INX","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Iran, Islamic Rep.","IRN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.74","","","16.74","13.84","","","17.55","14.31","","","15.23","","","","","","","","15.43","12.09","","",
"Iraq","IRQ","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.47","","","3.64","","4.6","3.74","4.81","3.76","","4.37","4.61","4.31","3.12","3.9","3.38","3.26","2.98","2.99","2.82","3.21","3.32","3.28","3.1","2.31","","2.93","","","",
"Israel","ISR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.93","","","","","","6","3.83","3.66","3.47","3.28","2.91","2.94","3.03","2.86","3.11","3.49","","2.94","2.9","2.77","2.85","3.31","3.38","3.49","","","","","",
"Italy","ITA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Jamaica","JAM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.85","","","16.67","9.85","9.53","9.83","10.08","9.43","","8.98","8.92","","","9.7","9.51","12.19","11.67","","10.52","10.84","","","","9.78","","",
"Jordan","JOR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.92","12.32","12.66","11.44","11.23","12.04","9.38","9.21","8.5","8.67","8.46","8.06","8.1","8.08","8.7","8.65","9.22","9.39","","","8.86","","",
"Japan","JPN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.14","5.03","4.43","4.96","5.25","5.46","5.45","5.72","7.06","4.82","4.7","4.93","5","6.05","5.83","5.57","4.26","3.87","3.07","3","2.76","3.27","2.56","2.68","2.64","1.5","2.7","2.83","3.12","3.06","3.03","11.32","3.23","","",
"Kazakhstan","KAZ","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.91","","","","4.75","","7.17","7.61","7.88","7.3","6.58","5.62","5.39","5.15","5.01","6.87","4.32","","",
"Kenya","KEN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99","","","","","12.86","16.52","15","12.23","","10.44","7.55","7.02","8.15","8.19","10.23","8.71","7.95","13.08","10.62","11.53","13.15","13.35","","12.66","13.35","12.02","","",
"Kyrgyz Republic","KGZ","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","2.78","3.33","6.8","4.31","","","3.91","3.87","4.32","4.52","4.35","4","4.14","4.14","3.91","6.6","5.83","5.71","5.09","17.5","5.84","","",
"Cambodia","KHM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.49","16.28","16.47","","11.08","10.86","11.68","11.42","","9.5","8.94","9.08","","8.34","","9.77","","","","9.62","","",
"Kiribati","KIR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.57","","","17.87","13.11","12.61","13.68","13.71","","","13.91","14","15.18","15.11","14.57","14.2","14.04","14.03","14.04","14.05","14.07","26.64","26.78","27.87","10.24","","",
"Korea, Rep.","KOR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.94","10.61","9.54","","8.53","","","6.84","15.02","13.45","13.61","5.9","9.55","10.41","9.98","9.72","9.27","7.97","7.46","7.41","8.37","7.89","7.31","7.45","7.72","7.99","7.99","8.42","8.83","9.07","9.07","","10.42","","",
"Kuwait","KWT","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.52","4.52","4.71","4.54","4.11","4.32","3.9","3.94","3.94","4.26","4.07","3.87","3.78","3.78","5.16","5.65","5.39","3.91","","",
"Latin America & Caribbean (excluding high income)","LAC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.92","18.95","13.21","13.61","12.49","12.24","11.77","12.91","12.68","13.07","13.74","13.31","12.72","12.62","12.36","11.41","10.64","10.15","9.98","9.36","8.74","7.74","7.46","7.5","7.12","7.12","6.82","6.86","7.04","","","","","",
"Lao PDR","LAO","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.06","13.09","","","12.48","13.67","13.93","13.91","13.15","","","","","","9.4","9.59","8.1","8.27","8.26","8.69","8.69","","",
"Lebanon","LBN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.59","16.94","8.36","27.31","","5.33","6.13","5.69","6.53","","","","","","","5.05","5.46","5.47","6.67","26.51","6.16","5.42","","",
"Liberia","LBR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.11","12.2","12.18","","","","9.56","","6.61","","",
"Libya","LBY","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.63","","","","","","30.73","","","","0","","","","","","","","","","","","","","4.58","","",
"St. Lucia","LCA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.52","","","16.3","16.34","12.22","12.69","12.78","","13.76","12.04","11.56","","","5.92","5.8","7","10.94","11.4","11.2","12.08","","","20.42","13.17","","",
"Latin America & Caribbean","LCN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.92","18.95","13.21","13.64","12.49","12.24","11.77","12.88","12.68","13.07","13.85","13.32","12.67","12.62","12.3","11.38","10.62","10.26","10","9.42","8.74","7.8","7.51","7.52","7.2","7.17","6.87","6.94","7.05","","","","","",
"Least developed countries: UN classification","LDC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.89","19","11.35","25.64","15.75","16.57","14.47","11.46","9.76","12.82","10.98","9.12","10.99","10.37","10.53","33.57","9.12","10.45","9.57","9.76","10.33","9.52","10.48","9.51","10.5","","","","","",
"Liechtenstein","LIE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.98","","","31.29","31.25","","","25.96","9.94","","6.95","6.75","","6.48","7.03","7.89","7.55","7.65","7.59","7.9","8.63","8.29","7.68","","7.72","5.04","","9.16","12.54","13.99","6.74","","",
"Lower middle income","LMC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.67","23.05","26.58","","20.65","17.15","21.64","18","12.45","13.61","13.79","17.31","14.74","14.73","12.53","13.84","12.49","10.86","9.27","9.16","7.14","7.52","7.58","7.32","6.5","6.57","8.03","7.71","7.69","6.77","","","","","",
"Lesotho","LSO","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.31","","","16.72","16.85","15.99","13.62","12.36","11.61","10.94","13.53","13.41","10.73","11.02","11.99","11.77","12.1","11.55","30.04","11.65","","",
"Late-demographic dividend","LTE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Luxembourg","LUX","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Latvia","LVA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Macao SAR, China","MAC","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"St. Martin (French part)","MAF","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
